model_id,base_score,lr,reg_alpha,reg_lambda,test_accuracy
1,0.4,0.1,0.0,0.0,0.9948238104718296
2,0.5,0.1,0.0,0.0,0.9950228946844515
3,0.6,0.1,0.0,0.0,0.9946247262592076
4,0.4,0.1,0.0,0.2,0.9948238104718296
5,0.5,0.1,0.0,0.2,0.9942265578339637
6,0.6,0.1,0.0,0.2,0.9946247262592076
7,0.4,0.1,0.0,0.5,0.9948238104718296
8,0.5,0.1,0.0,0.5,0.9948238104718296
9,0.6,0.1,0.0,0.5,0.9944256420465857
10,0.4,0.1,0.0,0.8,0.9946247262592076
11,0.5,0.1,0.0,0.8,0.9944256420465857
12,0.6,0.1,0.0,0.8,0.9946247262592076
13,0.4,0.1,0.0,1.0,0.9942265578339637
14,0.5,0.1,0.0,1.0,0.9944256420465857
15,0.6,0.1,0.0,1.0,0.9944256420465857
16,0.4,0.1,0.2,0.0,0.9944256420465857
17,0.5,0.1,0.2,0.0,0.9942265578339637
18,0.6,0.1,0.2,0.0,0.9942265578339637
19,0.4,0.1,0.2,0.2,0.9946247262592076
20,0.5,0.1,0.2,0.2,0.9948238104718296
21,0.6,0.1,0.2,0.2,0.9944256420465857
22,0.4,0.1,0.2,0.5,0.9944256420465857
23,0.5,0.1,0.2,0.5,0.9946247262592076
24,0.6,0.1,0.2,0.5,0.9946247262592076
25,0.4,0.1,0.2,0.8,0.9948238104718296
26,0.5,0.1,0.2,0.8,0.9944256420465857
27,0.6,0.1,0.2,0.8,0.9942265578339637
28,0.4,0.1,0.2,1.0,0.9944256420465857
29,0.5,0.1,0.2,1.0,0.9946247262592076
30,0.6,0.1,0.2,1.0,0.9946247262592076
31,0.4,0.1,0.5,0.0,0.9948238104718296
32,0.5,0.1,0.5,0.0,0.9946247262592076
33,0.6,0.1,0.5,0.0,0.9952219788970734
34,0.4,0.1,0.5,0.2,0.9952219788970734
35,0.5,0.1,0.5,0.2,0.9948238104718296
36,0.6,0.1,0.5,0.2,0.9952219788970734
37,0.4,0.1,0.5,0.5,0.9954210631096954
38,0.5,0.1,0.5,0.5,0.9954210631096954
39,0.6,0.1,0.5,0.5,0.9950228946844515
40,0.4,0.1,0.5,0.8,0.9950228946844515
41,0.5,0.1,0.5,0.8,0.9956201473223173
42,0.6,0.1,0.5,0.8,0.9950228946844515
43,0.4,0.1,0.5,1.0,0.9954210631096954
44,0.5,0.1,0.5,1.0,0.9948238104718296
45,0.6,0.1,0.5,1.0,0.9950228946844515
46,0.4,0.1,0.8,0.0,0.9954210631096954
47,0.5,0.1,0.8,0.0,0.9952219788970734
48,0.6,0.1,0.8,0.0,0.9948238104718296
49,0.4,0.1,0.8,0.2,0.9952219788970734
50,0.5,0.1,0.8,0.2,0.9954210631096954
51,0.6,0.1,0.8,0.2,0.9952219788970734
52,0.4,0.1,0.8,0.5,0.9950228946844515
53,0.5,0.1,0.8,0.5,0.9954210631096954
54,0.6,0.1,0.8,0.5,0.9954210631096954
55,0.4,0.1,0.8,0.8,0.9956201473223173
56,0.5,0.1,0.8,0.8,0.9956201473223173
57,0.6,0.1,0.8,0.8,0.9952219788970734
58,0.4,0.1,0.8,1.0,0.9950228946844515
59,0.5,0.1,0.8,1.0,0.9948238104718296
60,0.6,0.1,0.8,1.0,0.9952219788970734
61,0.4,0.1,1.0,0.0,0.9952219788970734
62,0.5,0.1,1.0,0.0,0.9952219788970734
63,0.6,0.1,1.0,0.0,0.9950228946844515
64,0.4,0.1,1.0,0.2,0.9956201473223173
65,0.5,0.1,1.0,0.2,0.9954210631096954
66,0.6,0.1,1.0,0.2,0.9958192315349392
67,0.4,0.1,1.0,0.5,0.9956201473223173
68,0.5,0.1,1.0,0.5,0.9960183157475612
69,0.6,0.1,1.0,0.5,0.9956201473223173
70,0.4,0.1,1.0,0.8,0.9956201473223173
71,0.5,0.1,1.0,0.8,0.9956201473223173
72,0.6,0.1,1.0,0.8,0.9956201473223173
73,0.4,0.1,1.0,1.0,0.9952219788970734
74,0.5,0.1,1.0,1.0,0.9948238104718296
75,0.6,0.1,1.0,1.0,0.9956201473223173
76,0.4,0.01,0.0,0.0,0.9950228946844515
77,0.5,0.01,0.0,0.0,0.9940274736213418
78,0.6,0.01,0.0,0.0,0.9942265578339637
79,0.4,0.01,0.0,0.2,0.9942265578339637
80,0.5,0.01,0.0,0.2,0.9942265578339637
81,0.6,0.01,0.0,0.2,0.9940274736213418
82,0.4,0.01,0.0,0.5,0.9936293051960979
83,0.5,0.01,0.0,0.5,0.9942265578339637
84,0.6,0.01,0.0,0.5,0.9942265578339637
85,0.4,0.01,0.0,0.8,0.9942265578339637
86,0.5,0.01,0.0,0.8,0.9944256420465857
87,0.6,0.01,0.0,0.8,0.9938283894087199
88,0.4,0.01,0.0,1.0,0.9946247262592076
89,0.5,0.01,0.0,1.0,0.9938283894087199
90,0.6,0.01,0.0,1.0,0.9946247262592076
91,0.4,0.01,0.2,0.0,0.9940274736213418
92,0.5,0.01,0.2,0.0,0.9940274736213418
93,0.6,0.01,0.2,0.0,0.9944256420465857
94,0.4,0.01,0.2,0.2,0.9938283894087199
95,0.5,0.01,0.2,0.2,0.9938283894087199
96,0.6,0.01,0.2,0.2,0.9942265578339637
97,0.4,0.01,0.2,0.5,0.9946247262592076
98,0.5,0.01,0.2,0.5,0.9946247262592076
99,0.6,0.01,0.2,0.5,0.9942265578339637
100,0.4,0.01,0.2,0.8,0.9944256420465857
101,0.5,0.01,0.2,0.8,0.9930320525582321
102,0.6,0.01,0.2,0.8,0.9940274736213418
103,0.4,0.01,0.2,1.0,0.9946247262592076
104,0.5,0.01,0.2,1.0,0.9942265578339637
105,0.6,0.01,0.2,1.0,0.9944256420465857
106,0.4,0.01,0.5,0.0,0.9944256420465857
107,0.5,0.01,0.5,0.0,0.9940274736213418
108,0.6,0.01,0.5,0.0,0.9946247262592076
109,0.4,0.01,0.5,0.2,0.9944256420465857
110,0.5,0.01,0.5,0.2,0.9944256420465857
111,0.6,0.01,0.5,0.2,0.9950228946844515
112,0.4,0.01,0.5,0.5,0.9944256420465857
113,0.5,0.01,0.5,0.5,0.9944256420465857
114,0.6,0.01,0.5,0.5,0.9944256420465857
115,0.4,0.01,0.5,0.8,0.9944256420465857
116,0.5,0.01,0.5,0.8,0.9944256420465857
117,0.6,0.01,0.5,0.8,0.9942265578339637
118,0.4,0.01,0.5,1.0,0.9944256420465857
119,0.5,0.01,0.5,1.0,0.9946247262592076
120,0.6,0.01,0.5,1.0,0.9946247262592076
121,0.4,0.01,0.8,0.0,0.9942265578339637
122,0.5,0.01,0.8,0.0,0.9948238104718296
123,0.6,0.01,0.8,0.0,0.9948238104718296
124,0.4,0.01,0.8,0.2,0.9946247262592076
125,0.5,0.01,0.8,0.2,0.9952219788970734
126,0.6,0.01,0.8,0.2,0.9942265578339637
127,0.4,0.01,0.8,0.5,0.9944256420465857
128,0.5,0.01,0.8,0.5,0.9946247262592076
129,0.6,0.01,0.8,0.5,0.9942265578339637
130,0.4,0.01,0.8,0.8,0.9948238104718296
131,0.5,0.01,0.8,0.8,0.9942265578339637
132,0.6,0.01,0.8,0.8,0.9946247262592076
133,0.4,0.01,0.8,1.0,0.9940274736213418
134,0.5,0.01,0.8,1.0,0.9942265578339637
135,0.6,0.01,0.8,1.0,0.9926338841329883
136,0.4,0.01,1.0,0.0,0.9944256420465857
137,0.5,0.01,1.0,0.0,0.9952219788970734
138,0.6,0.01,1.0,0.0,0.9952219788970734
139,0.4,0.01,1.0,0.2,0.9952219788970734
140,0.5,0.01,1.0,0.2,0.9948238104718296
141,0.6,0.01,1.0,0.2,0.9944256420465857
142,0.4,0.01,1.0,0.5,0.9944256420465857
143,0.5,0.01,1.0,0.5,0.9942265578339637
144,0.6,0.01,1.0,0.5,0.9944256420465857
145,0.4,0.01,1.0,0.8,0.9946247262592076
146,0.5,0.01,1.0,0.8,0.9928329683456102
147,0.6,0.01,1.0,0.8,0.9944256420465857
148,0.4,0.01,1.0,1.0,0.9946247262592076
149,0.5,0.01,1.0,1.0,0.9926338841329883
150,0.6,0.01,1.0,1.0,0.9942265578339637
151,0.4,0.001,0.0,0.0,0.9625721680270755
152,0.5,0.001,0.0,0.0,0.9749153892096357
153,0.6,0.001,0.0,0.0,0.9753135576348796
154,0.4,0.001,0.0,0.2,0.9625721680270755
155,0.5,0.001,0.0,0.2,0.9749153892096357
156,0.6,0.001,0.0,0.2,0.9753135576348796
157,0.4,0.001,0.0,0.5,0.9625721680270755
158,0.5,0.001,0.0,0.5,0.9753135576348796
159,0.6,0.001,0.0,0.5,0.9753135576348796
160,0.4,0.001,0.0,0.8,0.9625721680270755
161,0.5,0.001,0.0,0.8,0.9753135576348796
162,0.6,0.001,0.0,0.8,0.9753135576348796
163,0.4,0.001,0.0,1.0,0.9625721680270755
164,0.5,0.001,0.0,1.0,0.9753135576348796
165,0.6,0.001,0.0,1.0,0.9753135576348796
166,0.4,0.001,0.2,0.0,0.9625721680270755
167,0.5,0.001,0.2,0.0,0.9749153892096357
168,0.6,0.001,0.2,0.0,0.9753135576348796
169,0.4,0.001,0.2,0.2,0.9625721680270755
170,0.5,0.001,0.2,0.2,0.9753135576348796
171,0.6,0.001,0.2,0.2,0.9753135576348796
172,0.4,0.001,0.2,0.5,0.9625721680270755
173,0.5,0.001,0.2,0.5,0.9749153892096357
174,0.6,0.001,0.2,0.5,0.9753135576348796
175,0.4,0.001,0.2,0.8,0.9625721680270755
176,0.5,0.001,0.2,0.8,0.9749153892096357
177,0.6,0.001,0.2,0.8,0.9753135576348796
178,0.4,0.001,0.2,1.0,0.9625721680270755
179,0.5,0.001,0.2,1.0,0.9749153892096357
180,0.6,0.001,0.2,1.0,0.9753135576348796
181,0.4,0.001,0.5,0.0,0.9625721680270755
182,0.5,0.001,0.5,0.0,0.9749153892096357
183,0.6,0.001,0.5,0.0,0.9753135576348796
184,0.4,0.001,0.5,0.2,0.9625721680270755
185,0.5,0.001,0.5,0.2,0.9749153892096357
186,0.6,0.001,0.5,0.2,0.9753135576348796
187,0.4,0.001,0.5,0.5,0.9625721680270755
188,0.5,0.001,0.5,0.5,0.9749153892096357
189,0.6,0.001,0.5,0.5,0.9753135576348796
190,0.4,0.001,0.5,0.8,0.9625721680270755
191,0.5,0.001,0.5,0.8,0.9749153892096357
192,0.6,0.001,0.5,0.8,0.9753135576348796
193,0.4,0.001,0.5,1.0,0.9625721680270755
194,0.5,0.001,0.5,1.0,0.9749153892096357
195,0.6,0.001,0.5,1.0,0.9753135576348796
196,0.4,0.001,0.8,0.0,0.9625721680270755
197,0.5,0.001,0.8,0.0,0.9749153892096357
198,0.6,0.001,0.8,0.0,0.9753135576348796
199,0.4,0.001,0.8,0.2,0.9625721680270755
200,0.5,0.001,0.8,0.2,0.9749153892096357
201,0.6,0.001,0.8,0.2,0.9753135576348796
202,0.4,0.001,0.8,0.5,0.9625721680270755
203,0.5,0.001,0.8,0.5,0.9749153892096357
204,0.6,0.001,0.8,0.5,0.9753135576348796
205,0.4,0.001,0.8,0.8,0.9625721680270755
206,0.5,0.001,0.8,0.8,0.9749153892096357
207,0.6,0.001,0.8,0.8,0.9753135576348796
208,0.4,0.001,0.8,1.0,0.9625721680270755
209,0.5,0.001,0.8,1.0,0.9749153892096357
210,0.6,0.001,0.8,1.0,0.9753135576348796
211,0.4,0.001,1.0,0.0,0.9625721680270755
212,0.5,0.001,1.0,0.0,0.9749153892096357
213,0.6,0.001,1.0,0.0,0.9753135576348796
214,0.4,0.001,1.0,0.2,0.9625721680270755
215,0.5,0.001,1.0,0.2,0.9749153892096357
216,0.6,0.001,1.0,0.2,0.9753135576348796
217,0.4,0.001,1.0,0.5,0.9625721680270755
218,0.5,0.001,1.0,0.5,0.9749153892096357
219,0.6,0.001,1.0,0.5,0.9753135576348796
220,0.4,0.001,1.0,0.8,0.9625721680270755
221,0.5,0.001,1.0,0.8,0.9749153892096357
222,0.6,0.001,1.0,0.8,0.9753135576348796
223,0.4,0.001,1.0,1.0,0.9625721680270755
224,0.5,0.001,1.0,1.0,0.9749153892096357
