,base_score,lr,reg_alpha,reg_lambda,test_accuracy,train_accuracy
1,0.4,0.1,0.0,0.0,0.9948238104718296,1.0
2,0.5,0.1,0.0,0.0,0.9950228946844515,1.0
3,0.6,0.1,0.0,0.0,0.9946247262592076,1.0
4,0.4,0.1,0.0,0.2,0.9948238104718296,1.0
5,0.5,0.1,0.0,0.2,0.9942265578339637,1.0
6,0.6,0.1,0.0,0.2,0.9946247262592076,1.0
7,0.4,0.1,0.0,0.5,0.9948238104718296,1.0
8,0.5,0.1,0.0,0.5,0.9948238104718296,1.0
9,0.6,0.1,0.0,0.5,0.9944256420465857,1.0
10,0.4,0.1,0.0,0.8,0.9946247262592076,1.0
11,0.5,0.1,0.0,0.8,0.9944256420465857,1.0
12,0.6,0.1,0.0,0.8,0.9946247262592076,1.0
13,0.4,0.1,0.0,1.0,0.9942265578339637,1.0
14,0.5,0.1,0.0,1.0,0.9944256420465857,1.0
15,0.6,0.1,0.0,1.0,0.9944256420465857,1.0
16,0.4,0.1,0.2,0.0,0.9944256420465857,1.0
17,0.5,0.1,0.2,0.0,0.9942265578339637,1.0
18,0.6,0.1,0.2,0.0,0.9942265578339637,1.0
19,0.4,0.1,0.2,0.2,0.9946247262592076,1.0
20,0.5,0.1,0.2,0.2,0.9948238104718296,1.0
21,0.6,0.1,0.2,0.2,0.9944256420465857,1.0
22,0.4,0.1,0.2,0.5,0.9944256420465857,1.0
23,0.5,0.1,0.2,0.5,0.9946247262592076,1.0
24,0.6,0.1,0.2,0.5,0.9946247262592076,1.0
25,0.4,0.1,0.2,0.8,0.9948238104718296,1.0
26,0.5,0.1,0.2,0.8,0.9944256420465857,1.0
27,0.6,0.1,0.2,0.8,0.9942265578339637,1.0
28,0.4,0.1,0.2,1.0,0.9944256420465857,1.0
29,0.5,0.1,0.2,1.0,0.9946247262592076,1.0
30,0.6,0.1,0.2,1.0,0.9946247262592076,1.0
31,0.4,0.1,0.5,0.0,0.9948238104718296,0.9998008959681434
32,0.5,0.1,0.5,0.0,0.9946247262592076,0.9999004479840716
33,0.6,0.1,0.5,0.0,0.9952219788970734,0.9998008959681434
34,0.4,0.1,0.5,0.2,0.9952219788970734,0.9999004479840716
35,0.5,0.1,0.5,0.2,0.9948238104718296,0.9999502239920358
36,0.6,0.1,0.5,0.2,0.9952219788970734,0.9998506719761076
37,0.4,0.1,0.5,0.5,0.9954210631096954,0.9998506719761076
38,0.5,0.1,0.5,0.5,0.9954210631096954,0.9998506719761076
39,0.6,0.1,0.5,0.5,0.9950228946844515,0.9998008959681434
40,0.4,0.1,0.5,0.8,0.9950228946844515,0.9999004479840716
41,0.5,0.1,0.5,0.8,0.9956201473223173,0.9998506719761076
42,0.6,0.1,0.5,0.8,0.9950228946844515,0.9998008959681434
43,0.4,0.1,0.5,1.0,0.9954210631096954,0.9998506719761076
44,0.5,0.1,0.5,1.0,0.9948238104718296,0.9999502239920358
45,0.6,0.1,0.5,1.0,0.9950228946844515,0.9997511199601792
46,0.4,0.1,0.8,0.0,0.9954210631096954,0.9994026879044301
47,0.5,0.1,0.8,0.0,0.9952219788970734,0.9994026879044301
48,0.6,0.1,0.8,0.0,0.9948238104718296,0.9995520159283225
49,0.4,0.1,0.8,0.2,0.9952219788970734,0.9994026879044301
50,0.5,0.1,0.8,0.2,0.9954210631096954,0.9995520159283225
51,0.6,0.1,0.8,0.2,0.9952219788970734,0.9995520159283225
52,0.4,0.1,0.8,0.5,0.9950228946844515,0.9994026879044301
53,0.5,0.1,0.8,0.5,0.9954210631096954,0.9995022399203584
54,0.6,0.1,0.8,0.5,0.9954210631096954,0.9996017919362867
